order Nx err
1 1 0.0457232
2 1 0.00809627
3 1 0.000334174
4 1 2.34624e-05
5 1 7.34183e-07
6 1 3.30259e-08
7 1 8.38565e-10
8 1 2.77498e-11
9 1 6.12621e-13
10 1 2.19824e-14
1 2 0.0266425
2 2 0.00100498
3 2 2.3262e-05
4 2 7.26953e-07
5 2 1.25077e-08
6 2 2.60047e-10
7 2 3.52981e-12
8 2 5.4349e-14
9 2 2.13833e-14
10 2 3.164e-14
1 4 0.00829636
2 4 0.000121987
3 4 1.51329e-06
4 4 2.22908e-08
5 4 2.01163e-10
6 4 2.00417e-12
7 4 6.33897e-15
8 4 2.57993e-15
9 4 1.76651e-14
10 4 2.99853e-14
1 8 0.00226316
2 8 1.49263e-05
3 8 9.61135e-08
4 8 6.87313e-10
5 8 3.19728e-12
6 8 2.65582e-14
7 8 1.1288e-14
8 8 1.16205e-14
9 8 1.72398e-14
10 8 1.40264e-14
1 16 0.000588451
2 16 1.84286e-06
3 16 6.04931e-09
4 16 2.13125e-11
5 16 6.62587e-14
6 16 9.94796e-15
7 16 4.97369e-14
8 16 1.07813e-13
9 16 1.33619e-14
10 16 2.60203e-14
1 32 0.000149885
2 32 2.28841e-07
3 32 3.79315e-10
4 32 7.0532e-13
5 32 1.71737e-14
6 32 4.0404e-14
7 32 7.66515e-14
8 32 5.20201e-14
9 32 8.07112e-14
10 32 3.39671e-14
1 64 3.78138e-05
2 64 2.85078e-08
3 64 2.36855e-11
4 64 9.80287e-14
5 64 5.65103e-14
6 64 1.79909e-13
7 64 4.62605e-14
8 64 1.70055e-13
9 64 2.84927e-13
10 64 1.409e-13
1 128 9.49605e-06
2 128 3.55744e-09
3 128 1.40182e-12
4 128 3.13857e-14
5 128 2.12074e-13
6 128 4.23484e-14
7 128 1.02556e-13
8 128 1.3758e-13
9 128 2.2308e-13
10 128 4.39301e-14
1 256 2.37932e-06
2 256 4.44072e-10
3 256 1.65559e-13
4 256 1.06076e-13
5 256 1.7211e-13
6 256 6.74511e-13
7 256 2.50819e-13
8 256 7.94978e-13
9 256 3.53176e-13
10 256 2.65492e-13
1 512 5.95493e-07
2 512 5.56781e-11
3 512 8.07358e-13
4 512 1.48775e-13
5 512 4.65219e-13
6 512 7.83612e-13
7 512 1.08964e-12
8 512 1.45722e-12
9 512 1.61e-13
10 512 1.8802e-12
1 1024 1.48956e-07
2 1024 7.03419e-12
3 1024 2.80302e-13
4 1024 1.02334e-12
5 1024 4.24291e-13
6 1024 3.45751e-12
7 1024 2.4285e-13
8 1024 2.4071e-12
9 1024 2.56841e-13
10 1024 4.37069e-12
