order Nx err
1 1 0.0457232
2 1 0.00809627
3 1 0.000334174
4 1 2.34624e-05
5 1 7.34184e-07
6 1 3.30259e-08
7 1 8.3857e-10
8 1 2.77514e-11
9 1 6.17062e-13
10 1 2.88658e-14
1 2 0.0266425
2 2 0.00100498
3 2 2.3262e-05
4 2 7.26953e-07
5 2 1.25077e-08
6 2 2.60056e-10
7 2 3.5384e-12
8 2 5.22744e-14
9 2 2.37229e-14
10 2 3.36179e-14
1 4 0.00829636
2 4 0.000121987
3 4 1.51329e-06
4 4 2.22908e-08
5 4 2.01126e-10
6 4 2.05347e-12
7 4 5.84252e-14
8 4 5.15949e-14
9 4 3.67041e-14
10 4 3.74743e-14
1 8 0.00226316
2 8 1.49263e-05
3 8 9.61135e-08
4 8 6.87261e-10
5 8 3.12401e-12
6 8 1.24667e-13
7 8 1.04726e-13
8 8 1.04192e-13
9 8 8.75572e-14
10 8 9.26992e-14
1 16 0.000588451
2 16 1.84286e-06
3 16 6.04939e-09
4 16 2.12336e-11
5 16 1.14247e-13
6 16 1.46821e-13
7 16 1.29916e-13
8 16 1.25965e-13
9 16 1.05533e-13
10 16 1.23056e-13
1 32 0.000149885
2 32 2.28841e-07
3 32 3.79375e-10
4 32 5.83127e-13
5 32 1.24741e-13
6 32 1.64087e-13
7 32 1.30178e-13
8 32 1.22268e-13
9 32 1.07758e-13
10 32 1.33542e-13
1 64 3.78138e-05
2 64 2.85079e-08
3 64 2.37988e-11
4 64 3.96529e-14
5 64 4.85537e-14
6 64 6.5656e-14
7 64 3.6427e-14
8 64 5.37427e-14
9 64 1.88478e-13
10 64 2.91037e-14
1 128 9.49605e-06
2 128 3.55734e-09
3 128 1.45103e-12
4 128 9.87935e-14
5 128 1.11447e-13
6 128 1.10357e-13
7 128 7.47198e-14
8 128 1.33231e-13
9 128 3.50615e-13
10 128 2.09506e-14
1 256 2.37932e-06
2 256 4.44337e-10
3 256 3.71293e-14
4 256 1.85765e-13
5 256 2.11704e-13
6 256 2.24715e-13
7 256 1.15863e-13
8 256 2.59756e-13
9 256 6.88554e-13
10 256 4.37924e-14
1 512 5.95493e-07
2 512 5.56127e-11
3 512 1.75012e-13
4 512 3.97792e-13
5 512 4.36632e-13
6 512 4.32583e-13
7 512 2.34474e-13
8 512 4.99753e-13
9 512 1.33892e-12
10 512 9.69876e-14
1 1024 1.48956e-07
2 1024 7.13415e-12
3 1024 3.28366e-13
4 1024 7.6088e-13
5 1024 8.83809e-13
6 1024 8.37053e-13
7 1024 4.62132e-13
8 1024 1.03498e-12
9 1024 2.70216e-12
10 1024 1.80626e-13
