4.9253e-06 1.36495
4.37349e-05 1.36496
0.000167808 1.365
0.000430105 1.36506
0.00088017 1.36516
0.0015642 1.36531
0.0025251 1.3655
0.0038026 1.36575
0.00543327 1.36606
0.00745064 1.36642
0.00988524 1.36684
0.0127647 1.36732
0.0161138 1.36785
0.0199545 1.36845
0.0243061 1.3691
0.0291853 1.36982
0.0346063 1.3706
0.0405806 1.37143
0.0471174 1.37232
0.0542238 1.37327
0.0619042 1.37428
0.070161 1.37533
0.0789947 1.37644
0.0884034 1.3776
0.0983834 1.37881
0.108929 1.38007
0.120033 1.38137
0.131686 1.38272
0.143876 1.38411
0.156592 1.38555
0.16982 1.38702
0.183543 1.38852
0.197745 1.39007
0.212407 1.39164
0.22751 1.39325
0.243033 1.39488
0.258955 1.39655
0.275251 1.39824
0.2919 1.39995
0.308874 1.40168
0.32615 1.40344
0.3437 1.40521
0.361498 1.40699
0.379515 1.40879
0.397724 1.4106
0.416096 1.41242
0.434602 1.41425
0.453212 1.41608
0.471897 1.41792
0.490627 1.41975
0.509373 1.42159
0.528103 1.42342
0.546788 1.42525
0.565398 1.42708
0.583904 1.42889
0.602276 1.43069
0.620485 1.43248
0.638502 1.43426
0.6563 1.43602
0.67385 1.43776
0.691126 1.43948
0.7081 1.44118
0.724749 1.44285
0.741045 1.4445
0.756967 1.44612
0.77249 1.44771
0.787593 1.44927
0.802255 1.45079
0.816457 1.45228
0.83018 1.45373
0.843408 1.45514
0.856124 1.45651
0.868314 1.45784
0.879967 1.45913
0.891071 1.46036
0.901617 1.46156
0.911597 1.4627
0.921005 1.46379
0.929839 1.46483
0.938096 1.46582
0.945776 1.46675
0.952883 1.46763
0.959419 1.46846
0.965394 1.46922
0.970815 1.46994
0.975694 1.47059
0.980046 1.47119
0.983886 1.47173
0.987235 1.47221
0.990115 1.47263
0.992549 1.47301
0.994567 1.47333
0.996197 1.47359
0.997475 1.47381
0.998436 1.47398
0.99912 1.47411
0.99957 1.47419
0.999832 1.47425
0.999956 1.47428
0.999995 1.47429
